puissance maximale,modele,marque,annee,carrosserie,portes,sieges,cylindree,transmission,moteur,production,position du moteur,classe,annees de production
428,F512 M, Ferrari,,Testarossa512 TR (Testa Rossa)F512 M (Modifiée)Testarossa Spider ValeoFerrari Testarossa F90 SpecialeFerrari MythosFZ93 ZagatoFerrari FXKoenig SpecialsFerrari Testa D’Oro,,,943,Propulsion,12 cylindres à plat,177,Centrale arrière,Voiture de sport Grand Tourisme,1984
300,348 Spider, Ferrari,,Coupé,,,405,Propulsion,"V8 3,4 litres",8800,Centrale arrière,Coupé sport,1989
520,F50,Ferrari,,Roadster,,,4698,PropulsionBoîte à 6 rapports,"V12 DOHC 4,7 L ; 60 soupapes[2]",349,,Supercar,1995
485,550 Maranello,Ferrari,,Coupé,,,5474,Propulsion,"V12, 48 soupapes",3083,,Voiture de sport Grand Tourisme,1996
380,F355 Spider, Ferrari,,Coupé 2 portes,,,496,Propulsion,"V8 à 90° ; 3,5 litres ; 40 S",273,Longitudinale centrale arrière,Sportive de prestige,1994
442,456M GT, Ferrari,,Coupé 2 portes,,,474,Propulsion,"V12, 48 soupapes",289,Longitudinale avant,Sportive de prestige,1992
425,360 Modena,Ferrari,,"Coupé, 2 portes",,,3586,Propulsion,"V8, 3,6 L, 40 soupapes",1750,Longitudinale arrière,Sportive de prestige,2003
485,550 Barchetta Pininfarina,Ferrari,,Coupé,,,5474,Propulsion,"V12, 48 soupapes",3083,,Voiture de sport Grand Tourisme,1996
425,360 Spider,Ferrari,,"Coupé, 2 portes",,,3586,Propulsion,"V8, 3,6 L, 40 soupapes",1750,Longitudinale arrière,Sportive de prestige,2003
660,Enzo, Ferrari,,Coupé 2-portes,,,998,Propulsion,"V12 6,0 L à 65°, 48 soupapes2 x 2 ACT",400,Centrale arrière longitudinale,supercar ,2002
515,575M Maranello, Ferrari,,Coupé 2 portes,,,5748,Propulsion,"V12 à 60°, 48 soupapes",2548,Longitudinal avant,Voiture de sport Grand Tourisme,2002
425,Challenge Stradale,Ferrari,,"Coupé, 2 portes",,,3586,Propulsion,"V8, 3,6 L, 40 soupapes",1750,Longitudinale arrière,Sportive de prestige,2003
540,612 Scaglietti, Ferrari,,Coupé 2+2,,,748,Propulsion,"V12, 5.7 L, 48 S",,Longitudinale avant,Grand tourisme,2004
510,F430, Ferrari,,Coupé,,,308,PropulsionDifférentiel piloté,"Essence V8 4,3 L à 90°, 32V",,Longitudinal arrière,Voiture de sport,2007
510,F430 Spider, Ferrari,,Coupé,,,308,PropulsionDifférentiel piloté,"Essence V8 4,3 L à 90°, 32V",,Longitudinal arrière,Voiture de sport,2007
540,575M Superamerica, Ferrari,,Coupé-cabriolet,,,748,Propulsion Boîte manuelle ou robotisée 6-rapports,Essence V12 à 65°,559,,Sportive,2004
700 ch DIN (522 kW),599 GTB Fiorano, Ferrari,,Coupé 2-portes,,,6000,Propulsion,V12 atmosphérique,30 exemplaire(s),Avant,Supercar,2011
510,430 Scuderia, Ferrari,,Coupé,,,308,PropulsionDifférentiel piloté,"Essence V8 4,3 L à 90°, 32V",,Longitudinal arrière,Voiture de sport,2007
560,California, Ferrari,,Coupé Cabriolet,,,855,Propulsion,"V8 bi-turbo 32 soupapes à injection directe, à 90°",,Centrale avant,Grand tourisme,2014
510,Scuderia Spider 16M, Ferrari,,Coupé,,,308,PropulsionDifférentiel piloté,"Essence V8 4,3 L à 90°, 32V",,Longitudinal arrière,Voiture de sport,2007
445,458 Italia, Ferrari,,Coupé 2-portes,,,497,PropulsionDifférentiel électronique,"V8 central à 90° à injection directe, 32 soupapes",000,Longitudinal arrière,Voiture de sport,2013
670,599 GTO, Ferrari,,Coupé 2-portes,,,999,Propulsion,V12 de 6 L,599,Longitudinal avant,Voiture de sport,2010
670,599 SA Aperta, Ferrari,,Roadster,,,5999,Propulsion,V12 de 6 L,80 exemplaire(s),,Voiture de sport,2010
660,FF, Ferrari,,Coupé 2 portes,,,262,Intégrale sur les quatre premiers rapports,"V12 6,3 L à injection directe 65°",,Centrale avant,Coupé Grand Tourisme,2011
445,458 Italia Spider, Ferrari,,Coupé 2-portes,,,497,PropulsionDifférentiel électronique,"V8 central à 90° à injection directe, 32 soupapes",000,Longitudinal arrière,Voiture de sport,2013
740,F12 Berlinetta, Ferrari,,"Coupé, 2 portes",,,262,Propulsion,"V12, 6,3 L, 48 soupapes",,Longitudinale centrale avant,Voiture de sport Grand Tourisme,2012
963 ch  (708 kW),La, Ferrari,,Coupé 2 portes,,,262,Propulsion,"12 cylindres en V, 48 soupapes",200,Centrale arrière,Voiture de sport,2016
963 ch  (708 kW),La, Ferrari,,Coupé 2 portes,,,262,Propulsion,"12 cylindres en V, 48 soupapes",200,Centrale arrière,Voiture de sport,2016
445,458 Speciale, Ferrari,,Coupé 2-portes,,,497,PropulsionDifférentiel électronique,"V8 central à 90° à injection directe, 32 soupapes",000,Longitudinal arrière,Voiture de sport,2013
445,458 Speciale A, Ferrari,,Coupé 2-portes,,,497,PropulsionDifférentiel électronique,"V8 central à 90° à injection directe, 32 soupapes",000,Longitudinal arrière,Voiture de sport,2013
560,California T, Ferrari,,Coupé Cabriolet,,,855,Propulsion,"V8 bi-turbo 32 soupapes à injection directe, à 90°",,Centrale avant,Grand tourisme,2014
670,488 GTB, Ferrari,,"Roadster 2 portes, 2 places",,,902,Propulsion,"V8 biturbo 32V à injection directe, à 90°",,Longitudinale centrale arrière,Voiture de sport,2015
670,488 Spider, Ferrari,,"Roadster 2 portes, 2 places",,,902,Propulsion,"V8 biturbo 32V à injection directe, à 90°",,Longitudinale centrale arrière,Voiture de sport,2015
740,F12tdf, Ferrari,,"Coupé, 2 portes",,,262,Propulsion,"V12, 6,3 L, 48 soupapes",,Longitudinale centrale avant,Voiture de sport Grand Tourisme,2012
610 et 690 ch  (448 et 507 kW),GTC4Lusso, Ferrari,,Coupé 2 portes,,,855,Intégrale ou propulsion,"V12 6,3 L à injection directe 65° V8 3.9 bi-turbo",1600,Longitudinale centrale avant,Coupé Grand Tourisme,2016
800,812 Superfast, Ferrari,,"Coupé 2-portes, 2 places, Tri-corps",,,496,Propulsion + Autobloquant,"V12, F140, 65°, 48 soupapes, injection directe (350bars)",,Longitudinale centrale avant,Voiture de sport Grand tourisme,2017
600,Portofino, Ferrari,,Coupé cabriolet,,,855,Propulsion,"V8 bi-turbo 32 soupapes à injection directe, à 90°",,Centrale avant,Grand tourisme,2017
670,488 Pista, Ferrari,,"Roadster 2 portes, 2 places",,,902,Propulsion,"V8 biturbo 32V à injection directe, à 90°",,Longitudinale centrale arrière,Voiture de sport,2015
670,488 Pista Spider, Ferrari,,"Roadster 2 portes, 2 places",,,902,Propulsion,"V8 biturbo 32V à injection directe, à 90°",,Longitudinale centrale arrière,Voiture de sport,2015
720 ch,F8 Tributo, Ferrari,,"Coupé 2 portes, 2 places",,,902,Propulsion,"V8 bi-turbo 32 V à injection directe, à 90°",,Longitudinale centrale arrière,Voiture de sport,2019
Thermique : 780 chÉlectrique : 220 chCombinée : 1 000 ch  (735 kW),SF90 Stradale, Ferrari,,GT,,,990,Traction ou Intégrale,"V8 4.0 bi-turbo 32 V à injection directe, à 90°",,Longitudinale centrale arrière,Voiture de sport-supercar,2019
620 ch  (456 kW),Roma, Ferrari,,"Coupé 2 portes, 4 places",,,855,Propulsion,"V8 4.0 bi-turbo 32 V à injection directe, à 90°",,Longitudinale centrale avant,Voiture de sport GT 2+2,2020
118 à 260 ch,125 C, Ferrari,,Coupé barchettaMonoplace de course,,,1497,,V12 Colombo,,Avant,Voiture de course,1947
118 à 260 ch,125 S, Ferrari,,Coupé barchettaMonoplace de course,,,1497,,V12 Colombo,,Avant,Voiture de course,1947
,159 S,Ferrari,,,,,,,,2 exemplaire(s),,Voiture de course,1947
140,166 S, Ferrari,,Coupé et barchettaMonoplace de course,,,1995,Propulsion,"V12 de Ferrari 125, 2x1 arbre à cames en tête",100,Longitudinal avant,Voiture de course et voiture de sport,1948
140,166 SC, Ferrari,,Coupé et barchettaMonoplace de course,,,1995,Propulsion,"V12 de Ferrari 125, 2x1 arbre à cames en tête",100,Longitudinal avant,Voiture de course et voiture de sport,1948
140,166 MM, Ferrari,,Coupé et barchettaMonoplace de course,,,1995,Propulsion,"V12 de Ferrari 125, 2x1 arbre à cames en tête",100,Longitudinal avant,Voiture de course et voiture de sport,1948
,195 S,Ferrari,,,,,,,,,,,
280,275 S, Ferrari,,,,,285,Propulsion,"V12 ""Colombo"" à 60°",450,Longitudinale centrale avant,Voiture de sport,1964
,225 S,Ferrari,,,,,,,,,,,
230 ch,250 S, Ferrari,,Coupé 2 portes,,,2953,Propulsion,V12 à 60° « Colombo »,,Longitudinale avant,Sportive de prestige,1952
,500 F2,Ferrari,,,,,,,,,,,
,340 Mexico,Ferrari,,,,,,,,,,,
