Price,Immat,KM,Power,modele,marque,annee,couleurexterieure,interieur,couleurexterieure,typedepeinture,couleuroriginale,versionpays,interieur,carrosserie,portes,sieges,cylindree,transmission
90000,01/1989,21000,271,328,ferrari,1989,rouge,cuirnoir,rouge,,,,cuirnoir,coupe,2,2,3.186cm³,boîtemanuelle
92990,01/1989,27901,254,328,ferrari,1989,rouge,cuirnoir,rouge,,rosso,italie,cuirnoir,coupe,2,2,1.991cm³,boîtemanuelle
95700,03/1989,9800,390,testarossa,ferrari,1989,rouge,cuirnoir,rouge,,rossoferrari,,cuirnoir,coupe,3,2,4.943cm³,boîtemanuelle
105000,07/1989,35300,271,328,ferrari,1989,rouge,cuirnoir,rouge,,,,cuirnoir,coupe,2,2,3.200cm³,boîtemanuelle
106000,01/1989,35000,390,testarossa,ferrari,1989,rouge,cuirnoir,rouge,,rossacorsa,italie,cuirnoir,coupe,,,,boîtemanuelle
109000,12/1989,40000,269,328,ferrari,1989,rouge,,rouge,,,,,coupe,2,2,3.185cm³,boîtemanuelle
109500,03/1989,60591,389,testarossa,ferrari,1989,rouge,cuirnoir,rouge,metallise,rosso,,cuirnoir,coupe,2,2,4.942cm³,boîtemanuelle
110000,07/1989,44000,390,testarossa,ferrari,1989,rouge,cuirnoir,rouge,,,italie,cuirnoir,coupe,2,2,4.943cm³,boîtemanuelle
54990,01/1990,67250,300,348,ferrari,1990,blanc,,blanc,,blanco,,,coupe,2,2,3.405cm³,boîtemanuelle
65900,12/1990,15830,299,348,ferrari,1990,rouge,cuirbeige,rouge,,,,cuirbeige,coupe,2,2,3.405cm³,boîtemanuelle
70000,02/1990,45552,269,mondial,ferrari,1990,jaune,cuirjaune,jaune,metallise,,france,cuirjaune,cabriolet,2,4,3.186cm³,boîtemanuelle
142700,01/1990,29832,,testarossa,ferrari,1990,rouge,,rouge,,rouge,,,coupe,,,,boîtemanuelle
69500,09/1990,47000,300,348,ferrari,1990,argent,cuirautres,argent,metallise,argento,,cuirautres,coupe,2,2,3.405cm³,boîtemanuelle
99900,05/1990,32000,389,testarossa,ferrari,1990,noir,beige,noir,metallise,,france,beige,coupe,2,2,4.942cm³,boîtemanuelle
