Price,Immat,KM,Power,modele,marque,annee,couleurexterieure,interieur,couleurexterieure,typedepeinture,couleuroriginale,versionpays,interieur,carrosserie,portes,sieges,cylindree,transmission
5800,07/2005,185000,170,z4,bmw,2005,bleu,,bleu,,,,,cabriolet,2,2,2.171cm³,boîtemanuelle
5900,08/2004,111000,230,z4,bmw,2004,noir,,noir,,,,,cabriolet,2,2,2.979cm³,boîteautomatique
5900,07/2006,160000,150,z4,bmw,2006,bleu,,bleu,,,,,cabriolet,2,2,1.995cm³,boîtemanuelle
6200,07/2005,124700,150,z4,bmw,2005,argent,,argent,,,,,cabriolet,2,2,1.995cm³,boîtemanuelle
6200,09/2006,118000,150,z4,bmw,2006,bleu,,bleu,metallise,,,,cabriolet,2,2,1.995cm³,boîtemanuelle
6400,09/2003,214358,192,z4,bmw,2003,argent,,argent,metallise,,,,cabriolet,2,2,2.494cm³,boîtemanuelle
6499,01/2006,177000,150,z4,bmw,2006,noir,,noir,metallise,,,,cabriolet,2,2,1.995cm³,boîtemanuelle
6500,07/2005,124000,150,z4,bmw,2005,argent,,argent,,,,,cabriolet,2,2,1.995cm³,boîtemanuelle
6500,06/2004,208000,192,z4,bmw,2004,argent,cuirnoir,argent,metallise,titansilbermetallic,allemagne,cuirnoir,cabriolet,2,2,2.494cm³,boîtemanuelle
6500,03/2004,138000,170,z4,bmw,2004,noir,,noir,,,,,cabriolet,2,2,2.171cm³,boîtemanuelle
6600,04/2003,263000,192,z4,bmw,2003,gris,cuirnoir,gris,metallise,,,cuirnoir,cabriolet,2,2,2.494cm³,boîtemanuelle
6650,07/2007,245000,150,z4,bmw,2007,gris,tissu,gris,metallise,grigioscuro,,tissu,cabriolet,2,2,1.995cm³,boîtemanuelle
6690,09/2003,182000,192,z4,bmw,2003,gris,,gris,metallise,,,,cabriolet,2,2,2.494cm³,boîtemanuelle
6700,12/2004,118000,170,z4,bmw,2004,bleu,,bleu,,,,,cabriolet,2,2,2.171cm³,boîtemanuelle
6750,04/2004,187000,170,z4,bmw,2004,noir,,noir,metallise,,,,cabriolet,2,2,2.171cm³,boîtemanuelle
6750,06/2003,161250,192,z4,bmw,2003,mauve,,mauve,,,,,cabriolet,2,2,2.494cm³,boîtemanuelle
6790,08/2004,272000,170,z4,bmw,2004,noir,cuirnoir,noir,metallise,blacksapphiremetallic,,cuirnoir,cabriolet,2,2,2.171cm³,boîtemanuelle
6790,11/2005,178500,170,z4,bmw,2005,argent,,argent,metallise,,,,cabriolet,2,2,2.171cm³,boîtemanuelle
6790,08/2006,123000,150,z4,bmw,2006,noir,tissunoir,noir,metallise,schwarz2,,tissunoir,cabriolet,2,2,1.995cm³,boîtemanuelle
6890,02/2007,208900,150,z4,bmw,2007,noir,tissunoir,noir,metallise,blacksapphiremetallic,allemagne,tissunoir,cabriolet,2,2,1.995cm³,boîtemanuelle
6899,06/2003,197000,231,z4,bmw,2003,noir,,noir,,,,,cabriolet,,,,boîtemanuelle
6900,05/2006,136000,150,z4,bmw,2006,noir,,noir,,,,,cabriolet,2,2,1.995cm³,boîtemanuelle
6900,12/2003,163697,170,z4,bmw,2003,gris,cuirpartielnoir,gris,metallise,,,cuirpartielnoir,cabriolet,2,2,2.171cm³,boîtemanuelle
