Price,Immat,KM,Power,modele,marque,annee,couleurexterieure,interieur,couleurexterieure,typedepeinture,couleuroriginale,versionpays,interieur,carrosserie,portes,sieges,cylindree,transmission
20900,06/2008,127000,306,135,bmw,2008,rouge,cuir,rouge,metallise,,,cuir,coupe,2,4,2.979cm³,boîtemanuelle
20900,06/2008,127000,306,135,bmw,2008,rouge,cuir,rouge,metallise,,,cuir,coupe,2,4,2.979cm³,boîtemanuelle
20950,05/2008,90878,306,135,bmw,2008,noir,cuirnoir,noir,metallise,zwart,pays-bas,cuirnoir,cabriolet,2,4,2.979cm³,boîteautomatique
20980,06/2013,89711,320,135,bmw,2013,noir,alcantaranoir,noir,metallise,blacksapphire,,alcantaranoir,berline,5,5,2.979cm³,boîtemanuelle
20990,07/2011,116800,306,135,bmw,2011,noir,,noir,metallise,,,,cabriolet,2,4,2.979cm³,boîtemanuelle
20990,02/2012,153900,306,135,bmw,2012,noir,cuirautres,noir,metallise,blacksapphiremetallic,allemagne,cuirautres,cabriolet,2,4,2.979cm³,boîteautomatique
20999,12/2012,85000,320,135,bmw,2012,gris,,gris,metallise,,,,berline,5,5,2.979cm³,boîteautomatique
21000,01/2010,89000,306,135,bmw,2010,gris,,gris,,,,,cabriolet,2,4,2.979cm³,boîteautomatique
21000,05/2013,94000,320,135,bmw,2013,gris,cuirnoir,gris,metallise,,,cuirnoir,berline,5,5,2.979cm³,boîteautomatique
21000,01/2014,88000,320,135,bmw,2014,argent,,argent,,,,,berline,3,4,2.979cm³,boîteautomatique
21350,11/2013,81467,320,135,bmw,2013,noir,cuir,noir,metallise,blacksapphiremetallic,allemagne,cuir,berline,4,5,2.979cm³,boîteautomatique
21490,04/2013,75600,320,135,bmw,2013,bleu,alcantaranoir,bleu,metallise,estorilblau2metallic,allemagne,alcantaranoir,berline,4,5,2.979cm³,boîteautomatique
21499,01/2013,105000,320,135,bmw,2013,blanc,cuirrouge,blanc,,,,cuirrouge,berline,3,5,2.979cm³,boîteautomatique
21499,01/2013,105000,321,135,bmw,2013,blanc,cuirrouge,blanc,,,,cuirrouge,berline,3,5,2.979cm³,boîteautomatique
21500,03/2013,78741,320,135,bmw,2013,blanc,,blanc,,,,,berline,5,5,2.979cm³,boîteautomatique
21500,06/2013,107000,320,135,bmw,2013,orange,cuirnoir,orange,metallise,,,cuirnoir,berline,3,5,2.979cm³,boîteautomatique
21500,09/2013,91000,320,135,bmw,2013,bleu,alcantaranoir,bleu,metallise,,,alcantaranoir,berline,5,5,2.979cm³,boîteautomatique
21600,05/2011,119500,306,135,bmw,2011,blanc,,blanc,,,,,coupe,2,4,2.979cm³,boîteautomatique
21690,06/2014,90200,320,135,bmw,2014,gris,cuirgris,gris,metallise,mineralgrau,allemagne,cuirgris,berline,3,5,2.979cm³,boîteautomatique
21690,05/2008,46500,306,135,bmw,2008,argent,,argent,metallise,,,,coupe,2,4,2.979cm³,boîtemanuelle
21880,07/2014,101700,320,135,bmw,2014,bleu,tissunoir,bleu,metallise,estorilblau,,tissunoir,berline,5,5,2.979cm³,boîteautomatique
21900,05/2013,58450,320,135,bmw,2013,blanc,alcantaranoir,blanc,,alpinweissiii,allemagne,alcantaranoir,coupe,2,5,2.979cm³,boîteautomatique
21900,05/2013,58450,320,135,bmw,2013,blanc,alcantaranoir,blanc,,alpinweissiii,allemagne,alcantaranoir,coupe,2,5,2.979cm³,boîteautomatique
21900,02/2014,89200,320,135,bmw,2014,noir,alcantaranoir,noir,metallise,blacksapphire,,alcantaranoir,berline,4,5,2.979cm³,boîteautomatique
21900,02/2013,108000,320,135,bmw,2013,bleu,,bleu,,,,,berline,3,4,2.979cm³,boîteautomatique
21950,05/2008,79911,306,135,bmw,2008,gris,cuirnoir,gris,metallise,donkergrijs,,cuirnoir,cabriolet,2,4,2.979cm³,boîteautomatique
21950,03/2014,177951,320,135,bmw,2014,bleu,alcantaranoir,bleu,metallise,,pays-bas,alcantaranoir,citadine,4,5,2.979cm³,boîteautomatique
21950,06/2013,112000,320,135,bmw,2013,gris,cuir,gris,metallise,,,cuir,berline,5,5,2.979cm³,boîteautomatique
21950,03/2014,79000,320,135,bmw,2014,noir,cuirbeige,noir,metallise,,belgique,cuirbeige,berline,5,5,2.979cm³,boîteautomatique
21980,08/2011,74490,306,135,bmw,2011,blanc,cuirautres,blanc,,alpinweissiii,,cuirautres,cabriolet,2,4,2.979cm³,boîtemanuelle
21990,10/2013,119000,320,135,bmw,2013,gris,alcantaranoir,gris,metallise,mineralgraumetallic,allemagne,alcantaranoir,berline,4,5,2.979cm³,boîteautomatique
21990,10/2014,105000,381,135,bmw,2014,blanc,,blanc,,,,,berline,5,5,2.979cm³,boîtemanuelle
21990,01/2016,74000,326,135,bmw,2016,blanc,,blanc,,,,,berline,5,5,2.979cm³,boîteautomatique
21990,06/2013,92600,320,135,bmw,2013,bleu,alcantaragris,bleu,metallise,estorilblau,allemagne,alcantaragris,berline,5,5,2.979cm³,boîteautomatique
21990,01/2014,110000,320,135,bmw,2014,blanc,alcantaranoir,blanc,metallise,alpinweiss3,allemagne,alcantaranoir,berline,4,5,2.979cm³,boîteautomatique
21990,06/2013,90000,320,135,bmw,2013,blanc,cuirnoir,blanc,,alpinweiss3,,cuirnoir,berline,4,5,2.979cm³,boîtemanuelle
21999,06/2008,158000,359,135,bmw,2008,noir,cuir,noir,metallise,zwart,pays-bas,cuir,cabriolet,2,4,2.979cm³,boîtemanuelle
21999,04/2012,108000,306,135,bmw,2012,noir,cuirnoir,noir,metallise,blacksapphiremetallic,allemagne,cuirnoir,berline,2,4,2.979cm³,boîteautomatique
22000,02/2016,45510,326,135,bmw,2016,gris,,gris,metallise,,,,berline,3,4,2.979cm³,boîteautomatique
22000,04/2016,142000,326,135,bmw,2016,gris,cuir,gris,metallise,mineralgraumetallic,allemagne,cuir,berline,5,5,2.979cm³,boîtemanuelle
22000,02/2012,35000,306,135,bmw,2012,bleu,,bleu,metallise,,,,cabriolet,2,4,2.979cm³,boîteautomatique
22000,04/2011,98000,306,135,bmw,2011,gris,cuirnoir,gris,,,,cuirnoir,coupe,2,4,2.979cm³,boîtemanuelle
22000,01/2014,107000,320,135,bmw,2014,blanc,,blanc,,,,,berline,3,4,2.979cm³,boîteautomatique
22000,12/2013,47000,400,135,bmw,2013,bleu,,bleu,metallise,,,,berline,5,5,2.979cm³,boîteautomatique
22000,02/2013,102200,320,135,bmw,2013,gris,,gris,,,luxembourg,,berline,3,5,2.979cm³,boîteautomatique
22100,04/2014,75000,320,135,bmw,2014,orange,,orange,,,,,berline,3,4,2.979cm³,boîteautomatique
22190,05/2012,89900,320,135,bmw,2012,noir,cuirnoir,noir,metallise,blacksapphiremetallic,allemagne,cuirnoir,berline,4,5,2.979cm³,boîteautomatique
22460,03/2013,69797,320,135,bmw,2013,gris,alcantaragris,gris,metallise,,allemagne,alcantaragris,berline,2,4,2.979cm³,boîteautomatique
22460,03/2013,69797,320,135,bmw,2013,gris,alcantaragris,gris,metallise,,allemagne,alcantaragris,berline,2,4,2.979cm³,boîteautomatique
22460,03/2013,69797,320,135,bmw,2013,gris,alcantaragris,gris,metallise,,allemagne,alcantaragris,berline,2,4,2.979cm³,boîteautomatique
22460,03/2013,69797,320,135,bmw,2013,gris,alcantaragris,gris,metallise,,allemagne,alcantaragris,berline,2,4,2.979cm³,boîteautomatique
22460,03/2013,69797,320,135,bmw,2013,gris,alcantaragris,gris,metallise,,allemagne,alcantaragris,berline,2,4,2.979cm³,boîteautomatique
22490,07/2012,145000,320,135,bmw,2012,blanc,cuirnoir,blanc,,alpinweiss3,,cuirnoir,coupe,2,5,2.979cm³,boîtemanuelle
22499,04/2014,79000,320,135,bmw,2014,gris,cuirnoir,gris,metallise,mineralgraumetallic,,cuirnoir,berline,4,5,2.979cm³,boîteautomatique
22500,02/2013,81000,306,135,bmw,2013,noir,,noir,metallise,,,,coupe,2,4,2.979cm³,boîtemanuelle
22500,06/2013,105595,320,135,bmw,2013,bleu,cuirnoir,bleu,metallise,,,cuirnoir,berline,5,5,2.979cm³,boîteautomatique
22500,02/2013,74235,320,135,bmw,2013,blanc,,blanc,,,,,berline,3,4,2.979cm³,boîteautomatique
22500,09/2013,91000,320,135,bmw,2013,bleu,,bleu,metallise,,,,berline,5,5,2.979cm³,boîteautomatique
22500,02/2013,86522,320,135,bmw,2013,bleu,cuirnoir,bleu,metallise,estorilblauw,belgique,cuirnoir,berline,3,4,2.979cm³,boîteautomatique
22500,07/2013,106000,320,135,bmw,2013,noir,cuirnoir,noir,metallise,blacksapphiremetallic,allemagne,cuirnoir,berline,3,4,2.979cm³,boîteautomatique
22545,06/2008,26800,305,135,bmw,2008,noir,cuir,noir,metallise,zwart,etats-unis,cuir,cabriolet,2,4,2.979cm³,boîteautomatique
22750,11/2013,84815,320,135,bmw,2013,bleu,alcantaranoir,bleu,metallise,estorilblau,allemagne,alcantaranoir,berline,5,5,2.979cm³,boîteautomatique
22770,11/2015,109592,326,135,bmw,2015,blanc,cuirnoir,blanc,,alpinweiss3,,cuirnoir,berline,4,5,2.979cm³,boîteautomatique
22800,09/2014,56000,320,135,bmw,2014,blanc,cuirrouge,blanc,,,,cuirrouge,berline,3,5,2.979cm³,boîteautomatique
22840,02/2013,78391,320,135,bmw,2013,gris,alcantaranoir,gris,metallise,mineralgraumetallic,,alcantaranoir,berline,3,4,2.979cm³,boîteautomatique
22850,04/2008,37060,306,135,bmw,2008,gris,cuirnoir,gris,metallise,,,cuirnoir,coupe,2,4,2.979cm³,boîteautomatique
22889,04/2014,84915,320,135,bmw,2014,orange,,orange,metallise,,,,berline,5,5,2.979cm³,boîteautomatique
22890,10/2012,79845,320,135,bmw,2012,bleu,cuirbeige,bleu,metallise,estorilblau2metallic,allemagne,cuirbeige,berline,4,5,2.979cm³,boîteautomatique
22900,01/2013,141791,320,135,bmw,2013,noir,cuir,noir,,zwart,,cuir,citadine,4,5,2.979cm³,boîteautomatique
22900,09/2013,88096,320,135,bmw,2013,blanc,,blanc,,,,,berline,3,4,2.979cm³,boîteautomatique
22900,09/2012,100000,320,135,bmw,2012,noir,cuirnoir,noir,metallise,,,cuirnoir,berline,5,5,2.979cm³,boîteautomatique
22900,07/2014,125000,320,135,bmw,2014,blanc,alcantaragris,blanc,,,allemagne,alcantaragris,berline,5,5,2.979cm³,boîteautomatique
22900,03/2014,115000,320,135,bmw,2014,gris,,gris,,,,,berline,5,5,2.979cm³,boîteautomatique
22940,05/2015,97000,326,135,bmw,2015,orange,,orange,metallise,,,,berline,3,4,2.979cm³,boîteautomatique
22950,03/2014,81500,320,135,bmw,2014,orange,cuirnoir,orange,metallise,,,cuirnoir,berline,5,5,2.979cm³,boîteautomatique
22950,06/2013,85500,320,135,bmw,2013,bleu,noir,bleu,,,,noir,berline,3,4,2.979cm³,boîteautomatique
22950,06/2013,85500,320,135,bmw,2013,bleu,noir,bleu,metallise,,,noir,berline,,,,boîteautomatique
